{36500, 10, 0.0004, 0.001, 0.001, 12345, 17501, 1500, 10}
{743, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{1302, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{1331, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{3665, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{4182, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{4347, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{4444, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{4808, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{7249, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{8975, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{9286, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{10852, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{11558, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{13715, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{13947, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{15079, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{16963, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{17007, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{17554, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{17642, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{17681, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{17682, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{17689, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{17919, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{17958, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{18369, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{18611, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{18715, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{19980, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{20033, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{20983, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{20988, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{21120, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{26134, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{27141, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{29473, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{30783, 0, {0, 0, 0, 0, 0, 1, 1, 0, 0, 0}}
{32328, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{32756, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{33158, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{33563, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{33943, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{34356, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{34772, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{35674, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{36485, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{1, CoalescentTree[{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.011872559730571908, 0.018089869920393166, 0.028155562056347772, 0.030964564675908732, 0.04853621884938431, 0.05453612018452145, 0.365734239993298, 0.40865804141513273, 0.8467536208110296}, {{{1, 11}, {4, 11}}, {{10, 12}, {3, 12}}, {{8, 13}, {11, 13}}, {{9, 14}, {12, 14}}, {{2, 15}, {13, 15}}, {{14, 16}, {6, 16}}, {{16, 17}, {5, 17}}, {{17, 18}, {7, 18}}, {{18, 19}, {15, 19}}}]}
{11448, CoalescentTree[{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.011872559730571908, 0.018089869920393166, 0.028155562056347772, 0.030964564675908732, 0.04853621884938431, 0.05453612018452145, 0.40865804141513273, 0.6374805624077571, 1.3751305239093694}, {{{1, 11}, {4, 11}}, {{10, 12}, {3, 12}}, {{8, 13}, {11, 13}}, {{9, 14}, {12, 14}}, {{2, 15}, {13, 15}}, {{14, 16}, {6, 16}}, {{5, 17}, {7, 17}}, {{16, 18}, {15, 18}}, {{18, 19}, {17, 19}}}]}
{12388, CoalescentTree[{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.011872559730571908, 0.018089869920393166, 0.028155562056347772, 0.030964564675908732, 0.04853621884938431, 0.05453612018452145, 0.40865804141513273, 0.7849236762981652, 1.3751305239093694}, {{{1, 11}, {4, 11}}, {{10, 12}, {3, 12}}, {{8, 13}, {11, 13}}, {{9, 14}, {12, 14}}, {{2, 15}, {13, 15}}, {{14, 16}, {6, 16}}, {{5, 17}, {7, 17}}, {{17, 18}, {16, 18}}, {{15, 19}, {18, 19}}}]}
{12742, CoalescentTree[{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.011872559730571908, 0.018089869920393166, 0.028155562056347772, 0.030964564675908732, 0.04853621884938431, 0.05453612018452145, 0.40865804141513273, 0.7849236762981652, 1.3751305239093694}, {{{1, 11}, {4, 11}}, {{10, 12}, {3, 12}}, {{8, 13}, {11, 13}}, {{9, 14}, {12, 14}}, {{2, 15}, {13, 15}}, {{14, 16}, {6, 16}}, {{5, 17}, {7, 17}}, {{17, 18}, {16, 18}}, {{15, 19}, {18, 19}}}]}
{14209, CoalescentTree[{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.011872559730571908, 0.018089869920393166, 0.028155562056347772, 0.030964564675908732, 0.04853621884938431, 0.05453612018452145, 0.40865804141513273, 0.7849236762981652, 1.3751305239093694}, {{{1, 11}, {4, 11}}, {{10, 12}, {3, 12}}, {{8, 13}, {11, 13}}, {{9, 14}, {12, 14}}, {{2, 15}, {13, 15}}, {{14, 16}, {6, 16}}, {{5, 17}, {7, 17}}, {{17, 18}, {16, 18}}, {{15, 19}, {18, 19}}}]}
{15868, CoalescentTree[{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.011872559730571908, 0.018089869920393166, 0.028155562056347772, 0.030964564675908732, 0.04853621884938431, 0.05453612018452145, 0.40865804141513273, 0.7849236762981652, 1.3751305239093694}, {{{1, 11}, {4, 11}}, {{10, 12}, {3, 12}}, {{8, 13}, {11, 13}}, {{9, 14}, {12, 14}}, {{2, 15}, {13, 15}}, {{14, 16}, {6, 16}}, {{5, 17}, {7, 17}}, {{16, 18}, {17, 18}}, {{15, 19}, {18, 19}}}]}
{17537, CoalescentTree[{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.011872559730571908, 0.018089869920393166, 0.028155562056347772, 0.030964564675908732, 0.04853621884938431, 0.05453612018452145, 0.40865804141513273, 0.7849236762981652, 7.942631590478606}, {{{1, 11}, {4, 11}}, {{10, 12}, {3, 12}}, {{8, 13}, {11, 13}}, {{9, 14}, {12, 14}}, {{2, 15}, {13, 15}}, {{14, 16}, {6, 16}}, {{5, 17}, {7, 17}}, {{16, 18}, {17, 18}}, {{15, 19}, {18, 19}}}]}
{17540, CoalescentTree[{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.011872559730571908, 0.018089869920393166, 0.028155562056347772, 0.030964564675908732, 0.04853621884938431, 0.05453612018452145, 0.40865804141513273, 0.7849236762981652, 7.896784114256863}, {{{1, 11}, {4, 11}}, {{10, 12}, {3, 12}}, {{8, 13}, {11, 13}}, {{9, 14}, {12, 14}}, {{2, 15}, {13, 15}}, {{14, 16}, {6, 16}}, {{5, 17}, {7, 17}}, {{16, 18}, {17, 18}}, {{15, 19}, {18, 19}}}]}
{17572, CoalescentTree[{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.011872559730571908, 0.018089869920393166, 0.028155562056347772, 0.030964564675908732, 0.04853621884938431, 0.05453612018452145, 0.40865804141513273, 0.7849236762981652, 11.612712338028768}, {{{1, 11}, {4, 11}}, {{10, 12}, {3, 12}}, {{8, 13}, {11, 13}}, {{9, 14}, {12, 14}}, {{2, 15}, {13, 15}}, {{14, 16}, {6, 16}}, {{5, 17}, {7, 17}}, {{16, 18}, {17, 18}}, {{15, 19}, {18, 19}}}]}
{17619, CoalescentTree[{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.011872559730571908, 0.018089869920393166, 0.028155562056347772, 0.030964564675908732, 0.04853621884938431, 0.05453612018452145, 0.40865804141513273, 0.7849236762981652, 11.612712338028768}, {{{1, 11}, {4, 11}}, {{10, 12}, {3, 12}}, {{8, 13}, {11, 13}}, {{9, 14}, {12, 14}}, {{2, 15}, {13, 15}}, {{14, 16}, {6, 16}}, {{5, 17}, {7, 17}}, {{16, 18}, {17, 18}}, {{15, 19}, {18, 19}}}]}
{17642, CoalescentTree[{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.011872559730571908, 0.018089869920393166, 0.028155562056347772, 0.030964564675908732, 0.04853621884938431, 0.05453612018452145, 0.40865804141513273, 0.7849236762981652, 10.28010905193456}, {{{1, 11}, {4, 11}}, {{10, 12}, {3, 12}}, {{8, 13}, {11, 13}}, {{9, 14}, {12, 14}}, {{2, 15}, {13, 15}}, {{14, 16}, {6, 16}}, {{5, 17}, {7, 17}}, {{16, 18}, {17, 18}}, {{15, 19}, {18, 19}}}]}
{17687, CoalescentTree[{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.011872559730571908, 0.018089869920393166, 0.028155562056347772, 0.030964564675908732, 0.04853621884938431, 0.05453612018452145, 0.40865804141513273, 0.7849236762981652, 11.286275551769037}, {{{1, 11}, {4, 11}}, {{10, 12}, {3, 12}}, {{8, 13}, {11, 13}}, {{9, 14}, {12, 14}}, {{2, 15}, {13, 15}}, {{14, 16}, {6, 16}}, {{5, 17}, {7, 17}}, {{16, 18}, {17, 18}}, {{15, 19}, {18, 19}}}]}
{17709, CoalescentTree[{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.011872559730571908, 0.018089869920393166, 0.028155562056347772, 0.030964564675908732, 0.04853621884938431, 0.05453612018452145, 0.40865804141513273, 0.7849236762981652, 8.290049094924884}, {{{1, 11}, {4, 11}}, {{10, 12}, {3, 12}}, {{8, 13}, {11, 13}}, {{9, 14}, {12, 14}}, {{2, 15}, {13, 15}}, {{14, 16}, {6, 16}}, {{5, 17}, {7, 17}}, {{16, 18}, {17, 18}}, {{15, 19}, {18, 19}}}]}
{17713, CoalescentTree[{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.011872559730571908, 0.018089869920393166, 0.028155562056347772, 0.030964564675908732, 0.04853621884938431, 0.05453612018452145, 0.40865804141513273, 0.7849236762981652, 4.853370626064649}, {{{1, 11}, {4, 11}}, {{10, 12}, {3, 12}}, {{8, 13}, {11, 13}}, {{9, 14}, {12, 14}}, {{2, 15}, {13, 15}}, {{14, 16}, {6, 16}}, {{5, 17}, {7, 17}}, {{16, 18}, {17, 18}}, {{15, 19}, {18, 19}}}]}
{17829, CoalescentTree[{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.011872559730571908, 0.018089869920393166, 0.028155562056347772, 0.030964564675908732, 0.04853621884938431, 0.05453612018452145, 0.40865804141513273, 0.7849236762981652, 4.853370626064649}, {{{1, 11}, {4, 11}}, {{10, 12}, {3, 12}}, {{8, 13}, {11, 13}}, {{9, 14}, {12, 14}}, {{2, 15}, {13, 15}}, {{14, 16}, {6, 16}}, {{7, 17}, {5, 17}}, {{16, 18}, {17, 18}}, {{15, 19}, {18, 19}}}]}
{17830, CoalescentTree[{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.011872559730571908, 0.018089869920393166, 0.028155562056347772, 0.030964564675908732, 0.04853621884938431, 0.05453612018452145, 0.40865804141513273, 0.7849236762981652, 4.853370626064649}, {{{1, 11}, {4, 11}}, {{10, 12}, {3, 12}}, {{8, 13}, {11, 13}}, {{9, 14}, {12, 14}}, {{2, 15}, {13, 15}}, {{14, 16}, {6, 16}}, {{7, 17}, {5, 17}}, {{16, 18}, {17, 18}}, {{15, 19}, {18, 19}}}]}
{17993, CoalescentTree[{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.011872559730571908, 0.018089869920393166, 0.028155562056347772, 0.030964564675908732, 0.04853621884938431, 0.05453612018452145, 0.40865804141513273, 0.7849236762981652, 4.853370626064649}, {{{1, 11}, {4, 11}}, {{10, 12}, {3, 12}}, {{8, 13}, {11, 13}}, {{9, 14}, {12, 14}}, {{2, 15}, {13, 15}}, {{14, 16}, {6, 16}}, {{7, 17}, {5, 17}}, {{16, 18}, {17, 18}}, {{15, 19}, {18, 19}}}]}
{18055, CoalescentTree[{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.011872559730571908, 0.018089869920393166, 0.028155562056347772, 0.030964564675908732, 0.04853621884938431, 0.05453612018452145, 0.40865804141513273, 0.7849236762981652, 4.853370626064649}, {{{1, 11}, {4, 11}}, {{10, 12}, {3, 12}}, {{8, 13}, {11, 13}}, {{9, 14}, {12, 14}}, {{2, 15}, {13, 15}}, {{14, 16}, {6, 16}}, {{7, 17}, {5, 17}}, {{16, 18}, {17, 18}}, {{15, 19}, {18, 19}}}]}
{18056, CoalescentTree[{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.011872559730571908, 0.018089869920393166, 0.028155562056347772, 0.030964564675908732, 0.04853621884938431, 0.05453612018452145, 0.40865804141513273, 0.7849236762981652, 4.853370626064649}, {{{1, 11}, {4, 11}}, {{10, 12}, {3, 12}}, {{8, 13}, {11, 13}}, {{9, 14}, {12, 14}}, {{2, 15}, {13, 15}}, {{14, 16}, {6, 16}}, {{7, 17}, {5, 17}}, {{16, 18}, {17, 18}}, {{15, 19}, {18, 19}}}]}
{18106, CoalescentTree[{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.011872559730571908, 0.018089869920393166, 0.030964564675908732, 0.04853621884938431, 0.05453612018452145, 0.09793983080242405, 0.40865804141513273, 0.7849236762981652, 4.853370626064649}, {{{1, 11}, {4, 11}}, {{10, 12}, {3, 12}}, {{9, 13}, {12, 13}}, {{8, 14}, {2, 14}}, {{13, 15}, {6, 15}}, {{11, 16}, {14, 16}}, {{7, 17}, {5, 17}}, {{15, 18}, {17, 18}}, {{16, 19}, {18, 19}}}]}
{18175, CoalescentTree[{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.011872559730571908, 0.018089869920393166, 0.030964564675908732, 0.04853621884938431, 0.05453612018452145, 0.09793983080242405, 0.40865804141513273, 0.7849236762981652, 4.853370626064649}, {{{1, 11}, {4, 11}}, {{10, 12}, {3, 12}}, {{9, 13}, {12, 13}}, {{8, 14}, {2, 14}}, {{13, 15}, {6, 15}}, {{11, 16}, {14, 16}}, {{7, 17}, {5, 17}}, {{15, 18}, {17, 18}}, {{16, 19}, {18, 19}}}]}
{18346, CoalescentTree[{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.011872559730571908, 0.018089869920393166, 0.030964564675908732, 0.04853621884938431, 0.05453612018452145, 0.09793983080242405, 0.40865804141513273, 0.7849236762981652, 4.853370626064649}, {{{1, 11}, {4, 11}}, {{10, 12}, {3, 12}}, {{9, 13}, {12, 13}}, {{8, 14}, {2, 14}}, {{13, 15}, {6, 15}}, {{11, 16}, {14, 16}}, {{7, 17}, {5, 17}}, {{15, 18}, {17, 18}}, {{16, 19}, {18, 19}}}]}
{18357, CoalescentTree[{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.011872559730571908, 0.018089869920393166, 0.030964564675908732, 0.04853621884938431, 0.05453612018452145, 0.09793983080242405, 0.40865804141513273, 0.7849236762981652, 7.167511824159533}, {{{1, 11}, {4, 11}}, {{10, 12}, {3, 12}}, {{9, 13}, {12, 13}}, {{8, 14}, {2, 14}}, {{13, 15}, {6, 15}}, {{11, 16}, {14, 16}}, {{7, 17}, {5, 17}}, {{15, 18}, {17, 18}}, {{16, 19}, {18, 19}}}]}
{18359, CoalescentTree[{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.011872559730571908, 0.018089869920393166, 0.030964564675908732, 0.04853621884938431, 0.05453612018452145, 0.09793983080242405, 0.40865804141513273, 0.7849236762981652, 7.167511824159533}, {{{1, 11}, {4, 11}}, {{10, 12}, {3, 12}}, {{9, 13}, {12, 13}}, {{8, 14}, {2, 14}}, {{13, 15}, {6, 15}}, {{11, 16}, {14, 16}}, {{5, 17}, {7, 17}}, {{15, 18}, {17, 18}}, {{16, 19}, {18, 19}}}]}
{18387, CoalescentTree[{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.011872559730571908, 0.018089869920393166, 0.030964564675908732, 0.04853621884938431, 0.05453612018452145, 0.09793983080242405, 0.40865804141513273, 0.7849236762981652, 7.167511824159533}, {{{1, 11}, {4, 11}}, {{10, 12}, {3, 12}}, {{9, 13}, {12, 13}}, {{8, 14}, {2, 14}}, {{13, 15}, {6, 15}}, {{11, 16}, {14, 16}}, {{5, 17}, {7, 17}}, {{15, 18}, {17, 18}}, {{16, 19}, {18, 19}}}]}
